Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
False,153.0,3426,,,Absolute,Inf,Map
True,152.0,3426,,,Absolute,Inf,Map
True,159.0,3426,,,Absolute,Inf,Map
True,138.0,3426,,,Absolute,Inf,Map
False,137.0,3426,,,Absolute,Inf,Map
True,96.0,3426,,,Absolute,Inf,Map
True,196.0,4199,,,Absolute,3s,Map
True,10.0,4199,,,Absolute,3s,Map
True,170.0,4199,,,Absolute,3s,Map
False,121.0,4199,,,Absolute,3s,Map
True,62.0,4199,,,Absolute,3s,Map
True,55.0,4199,,,Absolute,3s,Map
True,108.0,4199,,,Absolute,3s,Map
False,128.0,4199,,,Absolute,3s,Map
True,136.0,4199,,,Absolute,3s,Map
False,178.0,4199,,,Absolute,3s,Map
True,145.0,4199,,,Absolute,3s,Map
True,139.0,4199,,,Absolute,3s,Map
False,167.0,4199,,,Absolute,3s,Map
True,56.0,4199,,,Absolute,3s,Map
True,91.0,4199,,,Absolute,3s,Map
True,132.0,4199,,,Absolute,3s,Map
False,112.0,4199,,,Absolute,3s,Map
False,57.0,4199,,,Absolute,3s,Map
False,118.0,4199,,,Absolute,3s,Map
True,17.0,4199,,,Absolute,3s,Map
True,134.0,4199,,,Absolute,3s,Map
True,168.0,4199,,,Absolute,3s,Map
True,122.0,4199,,,Absolute,3s,Map
False,194.0,4199,,,Absolute,3s,Map
False,140.0,4199,,,Absolute,3s,Map
True,74.0,4199,,,Absolute,3s,Map
True,53.0,4199,,,Absolute,3s,Map
False,155.0,4199,,,Absolute,3s,Map
False,177.0,4199,,,Absolute,3s,Map
True,147.0,4199,,,Absolute,3s,Map
True,70.0,4199,,,Absolute,3s,Map
True,176.0,4199,,,Absolute,3s,Map
True,34.0,4199,,,Absolute,3s,Map
False,171.0,4199,,,Absolute,3s,Map
False,58.0,4199,,,Absolute,3s,Map
True,154.0,4199,,,Absolute,3s,Map
True,126.0,4199,,,Absolute,Inf,Map
True,113.0,4199,,,Absolute,Inf,Map
True,153.0,4199,,,Absolute,Inf,Map
True,54.0,4199,,,Absolute,Inf,Map
True,172.0,4199,,,Absolute,Inf,Map
True,159.0,4199,,,Absolute,Inf,Map
False,183.0,4199,,,Absolute,Inf,Map
False,63.0,4199,,,Absolute,Inf,Map
True,12.0,4199,,,Absolute,Inf,Map
False,60.0,4199,,,Absolute,Inf,Map
True,29.0,4199,,,Absolute,Inf,Map
False,148.0,4199,,,Absolute,Inf,Map
True,175.0,4199,,,Absolute,Inf,Map
True,102.0,4199,,,Absolute,Inf,Map
True,123.0,4199,,,Absolute,Inf,Map
True,133.0,4199,,,Absolute,Inf,Map
True,137.0,4199,,,Absolute,Inf,Map
False,130.0,4199,,,Absolute,Inf,Map
True,152.0,4199,,,Absolute,Inf,Map
True,169.0,4199,,,Absolute,Inf,Map
True,115.0,4199,,,Absolute,Inf,Map
False,181.0,4199,,,Absolute,Inf,Map
True,6.0,4199,,,Absolute,Inf,Map
True,69.0,4199,,,Absolute,Inf,Map
True,32.0,4199,,,Absolute,Inf,Map
True,106.0,4199,,,Absolute,Inf,Map
False,16.0,4199,,,Absolute,Inf,Map
True,39.0,4199,,,Absolute,Inf,Map
True,162.0,4199,,,Absolute,Inf,Map
True,197.0,4199,,,Absolute,Inf,Map
False,138.0,4199,,,Absolute,Inf,Map
True,103.0,4199,,,Absolute,Inf,Map
True,149.0,4199,,,Absolute,Inf,Map
True,96.0,4199,,,Absolute,Inf,Map
False,124.0,4199,,,Absolute,Inf,Map
True,8.0,4199,,,Absolute,Inf,Map
True,57.0,4749,,,Absolute,3s,Map
True,55.0,4749,,,Absolute,3s,Map
True,34.0,4749,,,Absolute,3s,Map
True,171.0,4749,,,Absolute,3s,Map
True,70.0,4749,,,Absolute,3s,Map
True,194.0,4749,,,Absolute,3s,Map
False,10.0,4749,,,Absolute,3s,Map
False,147.0,4749,,,Absolute,3s,Map
True,91.0,4749,,,Absolute,3s,Map
True,121.0,4749,,,Absolute,3s,Map
True,62.0,4749,,,Absolute,3s,Map
False,167.0,4749,,,Absolute,3s,Map
False,140.0,4749,,,Absolute,3s,Map
False,176.0,4749,,,Absolute,3s,Map
True,56.0,4749,,,Absolute,3s,Map
True,128.0,4749,,,Absolute,3s,Map
True,154.0,4749,,,Absolute,3s,Map
True,177.0,4749,,,Absolute,3s,Map
True,136.0,4749,,,Absolute,3s,Map
False,58.0,4749,,,Absolute,3s,Map
True,17.0,4749,,,Absolute,3s,Map
False,134.0,4749,,,Absolute,3s,Map
False,155.0,4749,,,Absolute,3s,Map
True,170.0,4749,,,Absolute,3s,Map
False,112.0,4749,,,Absolute,3s,Map
False,122.0,4749,,,Absolute,3s,Map
True,145.0,4749,,,Absolute,3s,Map
True,178.0,4749,,,Absolute,3s,Map
False,74.0,4749,,,Absolute,3s,Map
True,53.0,4749,,,Absolute,3s,Map
False,168.0,4749,,,Absolute,3s,Map
False,118.0,4749,,,Absolute,3s,Map
True,196.0,4749,,,Absolute,3s,Map
False,139.0,4749,,,Absolute,3s,Map
False,132.0,4749,,,Absolute,3s,Map
False,108.0,4749,,,Absolute,3s,Map
True,124.0,4749,,,Absolute,Inf,Map
True,123.0,4749,,,Absolute,Inf,Map
False,153.0,4749,,,Absolute,Inf,Map
True,29.0,4749,,,Absolute,Inf,Map
True,102.0,4749,,,Absolute,Inf,Map
True,32.0,4749,,,Absolute,Inf,Map
True,137.0,4749,,,Absolute,Inf,Map
True,103.0,4749,,,Absolute,Inf,Map
True,130.0,4749,,,Absolute,Inf,Map
False,169.0,4749,,,Absolute,Inf,Map
True,138.0,4749,,,Absolute,Inf,Map
False,126.0,4749,,,Absolute,Inf,Map
True,8.0,4749,,,Absolute,Inf,Map
True,60.0,4749,,,Absolute,Inf,Map
True,54.0,4749,,,Absolute,Inf,Map
True,106.0,4749,,,Absolute,Inf,Map
True,12.0,4749,,,Absolute,Inf,Map
False,113.0,4749,,,Absolute,Inf,Map
True,96.0,4749,,,Absolute,Inf,Map
False,183.0,4749,,,Absolute,Inf,Map
True,6.0,4749,,,Absolute,Inf,Map
True,181.0,4749,,,Absolute,Inf,Map
False,172.0,4749,,,Absolute,Inf,Map
True,149.0,4749,,,Absolute,Inf,Map
False,115.0,4749,,,Absolute,Inf,Map
True,152.0,4749,,,Absolute,Inf,Map
True,175.0,4749,,,Absolute,Inf,Map
True,197.0,4749,,,Absolute,Inf,Map
True,16.0,4749,,,Absolute,Inf,Map
True,162.0,4749,,,Absolute,Inf,Map
True,133.0,4749,,,Absolute,Inf,Map
True,69.0,4749,,,Absolute,Inf,Map
False,63.0,4749,,,Absolute,Inf,Map
True,39.0,4749,,,Absolute,Inf,Map
True,159.0,4749,,,Absolute,Inf,Map
False,148.0,4749,,,Absolute,Inf,Map
False,176.0,5048,,,Absolute,3s,Map
False,57.0,5048,,,Absolute,3s,Map
True,74.0,5048,,,Absolute,3s,Map
False,136.0,5048,,,Absolute,3s,Map
True,167.0,5048,,,Absolute,3s,Map
False,53.0,5048,,,Absolute,3s,Map
True,178.0,5048,,,Absolute,3s,Map
False,154.0,5048,,,Absolute,3s,Map
True,108.0,5048,,,Absolute,3s,Map
True,134.0,5048,,,Absolute,3s,Map
True,121.0,5048,,,Absolute,3s,Map
True,145.0,5048,,,Absolute,3s,Map
True,70.0,5048,,,Absolute,3s,Map
False,58.0,5048,,,Absolute,3s,Map
True,55.0,5048,,,Absolute,3s,Map
True,170.0,5048,,,Absolute,3s,Map
False,112.0,5048,,,Absolute,3s,Map
False,56.0,5048,,,Absolute,3s,Map
False,17.0,5048,,,Absolute,3s,Map
False,168.0,5048,,,Absolute,3s,Map
True,171.0,5048,,,Absolute,3s,Map
